Supplier Name,Supplier ID,Product,Product ID,Product Quantity,Price per Product,Address,State,Phone Number,City,Email,Payment Status,Date
Nair Ventures,SUP9068,Milling Machine-7.5HP,MLL0001,10,3716.7,"75, Main Road",Uttar Pradesh,8082672892,Kanpur,nairventures@example.com,Payment Paid,2022-03-08
Verma Industries,SUP9502,Sowing Machine 2F,SWM0002,8,3095.37,"37, Market Street",Rajasthan,8310204542,Udaipur,vermaindustries@example.com,Payment Paid,2021-09-06
Nair Ventures,SUP5964,Sowing Machine 2F,SWM0002,86,2484.06,"75, Market Street",Rajasthan,8889750644,Udaipur,nairventures@example.com,Payment Paid,2020-03-07
Khan Distributors,SUP6422,Sowing Machine 1F,SWM0001,71,3052.98,"97, Main Road",Kerala,9992526468,Kozhikode,khandistributors@example.com,Payment Paid,2023-07-01
Reddy Trading Co.,SUP7676,Roater/Multure-7ft,RTR0002,80,2203.6,"11, Market Street",Kerala,8179180648,Thiruvananthapuram,reddytradingco.@example.com,Payment Paid,2020-06-24
Bose Supplies,SUP2229,Kadaba Kutti Machine M1,KK0001,22,1930.71,"70, Main Road",Bihar,9371676028,Bhagalpur,bosesupplies@example.com,Payment Paid,2020-04-28
Reddy Trading Co.,SUP1046,Kadaba Kutti Machine M2,KK0002,22,658.26,"48, Market Street",Uttar Pradesh,7641507386,Lucknow,reddytradingco.@example.com,Payment Pending,2023-12-22
Nair Ventures,SUP7413,Sowing Machine 1F,SWM0001,21,1228.02,"68, Market Street",West Bengal,8251019752,Howrah,nairventures@example.com,Payment Paid,2022-09-25
Desai Dealers,SUP4370,Plow-18HP,PLW0001,30,1218.95,"73, Market Street",Kerala,6754507959,Thiruvananthapuram,desaidealers@example.com,Payment Pending,2022-07-25
Bose Supplies,SUP8123,Plow-18HP,PLW0001,44,3490.18,"51, Market Street",Uttar Pradesh,6355148959,Varanasi,bosesupplies@example.com,Payment Paid,2021-11-15
Verma Industries,SUP1761,Milk Extractor 600LPM,ME0002,70,2460.86,"15, Market Street",Rajasthan,9091924081,Jaipur,vermaindustries@example.com,Payment Pending,2023-04-16
Patel Enterprises,SUP3025,Roater/Multure-2ft,RTR0001,79,2639.14,"1, Industrial Area",West Bengal,6163468414,Howrah,patelenterprises@example.com,Payment Pending,2021-11-29
Verma Industries,SUP1063,Roater/Multure-7ft,RTR0002,90,3957.96,"75, Industrial Area",Punjab,6673497745,Jalandhar,vermaindustries@example.com,Payment Paid,2022-06-23
Reddy Trading Co.,SUP9728,Roater/Multure-2ft,RTR0001,82,2269.11,"14, Market Street",Uttar Pradesh,7015973624,Varanasi,reddytradingco.@example.com,Payment Paid,2020-05-03
Bose Supplies,SUP3581,Roater/Multure-7ft,RTR0002,77,652.99,"48, Market Street",West Bengal,6102422261,Kolkata,bosesupplies@example.com,Payment Paid,2023-11-13
Bose Supplies,SUP4439,Plow-60HP,PLW0002,31,542.91,"42, Market Street",Tamil Nadu,8246217718,Madurai,bosesupplies@example.com,Payment Paid,2023-08-17
Patel Enterprises,SUP9026,Milk Extractor 600LPM,ME0002,35,3892.86,"60, Main Road",Rajasthan,8097438936,Udaipur,patelenterprises@example.com,Payment Paid,2023-07-04
Nair Ventures,SUP1522,Kadaba Kutti Machine M2,KK0002,13,3371.24,"63, Market Street",Maharashtra,6041113483,Pune,nairventures@example.com,Payment Paid,2023-03-09
Verma Industries,SUP4899,Kadaba Kutti Machine M3,KK0003,99,2459.52,"93, Market Street",Uttar Pradesh,8777627057,Kanpur,vermaindustries@example.com,Payment Paid,2020-04-25
Desai Dealers,SUP5481,Milk Extractor 180LPM,ME0001,21,3398.15,"41, Main Road",Bihar,8723641496,Gaya,desaidealers@example.com,Payment Paid,2023-12-05
Khan Distributors,SUP3832,Sowing Machine 4F,SWM0004,73,4318.73,"27, Industrial Area",West Bengal,9112286291,Darjeeling,khandistributors@example.com,Payment Pending,2021-03-04
Nair Ventures,SUP6700,Kadaba Kutti Machine M2,KK0002,16,4474.47,"58, Main Road",Karnataka,9572704382,Mysore,nairventures@example.com,Payment Pending,2023-04-08
Sharma Traders,SUP8322,Milling Machine-40HP,MLL0002,59,2133.94,"26, Market Street",Uttar Pradesh,8711784702,Varanasi,sharmatraders@example.com,Payment Pending,2021-03-26
Nair Ventures,SUP1524,Roater/Multure-7ft,RTR0002,27,2845.55,"88, Main Road",Gujarat,9309986005,Ahmedabad,nairventures@example.com,Payment Paid,2020-11-11
Desai Dealers,SUP2553,Kadaba Kutti Machine M1,KK0001,25,889.35,"100, Market Street",Bihar,6296285064,Patna,desaidealers@example.com,Payment Pending,2020-11-21
Khan Distributors,SUP2800,Milling Machine-7.5HP,MLL0001,13,996.5,"53, Industrial Area",Kerala,9953302561,Kochi,khandistributors@example.com,Payment Pending,2023-10-26
Khan Distributors,SUP3551,Sowing Machine 3F,SWM0003,92,693.28,"85, Main Road",Kerala,8411056940,Thiruvananthapuram,khandistributors@example.com,Payment Pending,2021-02-06
Verma Industries,SUP5341,Milk Extractor 600LPM,ME0002,26,4054.52,"48, Industrial Area",Maharashtra,7590237935,Nagpur,vermaindustries@example.com,Payment Paid,2022-07-08
Verma Industries,SUP9330,Sowing Machine 2F,SWM0002,95,944.1,"87, Main Road",Uttar Pradesh,9603441738,Lucknow,vermaindustries@example.com,Payment Paid,2021-06-21
Singh Agro,SUP6984,Milling Machine-7.5HP,MLL0001,65,1126.21,"38, Market Street",Kerala,9788065380,Thiruvananthapuram,singhagro@example.com,Payment Paid,2022-07-19
Gupta Suppliers,SUP6975,Kadaba Kutti Machine M1,KK0001,17,2737.04,"41, Main Road",Uttar Pradesh,6148022985,Kanpur,guptasuppliers@example.com,Payment Pending,2020-07-14
Sharma Traders,SUP7256,Milling Machine-40HP,MLL0002,19,4122.17,"22, Industrial Area",Rajasthan,9180006148,Jaipur,sharmatraders@example.com,Payment Pending,2021-08-12
Nair Ventures,SUP5408,Kadaba Kutti Machine M2,KK0002,97,1911.13,"2, Industrial Area",Gujarat,8706897293,Ahmedabad,nairventures@example.com,Payment Paid,2020-11-07
Bose Supplies,SUP6949,Sowing Machine 1F,SWM0001,6,1265.13,"72, Market Street",Rajasthan,8976694197,Jaipur,bosesupplies@example.com,Payment Pending,2021-01-12
Singh Agro,SUP4323,Milk Extractor 600LPM,ME0002,64,3472.37,"38, Industrial Area",Karnataka,8983271859,Mysore,singhagro@example.com,Payment Paid,2020-03-31
Gupta Suppliers,SUP5819,Sowing Machine 1F,SWM0001,25,1957.39,"70, Industrial Area",Punjab,9154800701,Amritsar,guptasuppliers@example.com,Payment Pending,2020-02-20
Sharma Traders,SUP3904,Plow-18HP,PLW0001,63,4185.25,"78, Market Street",Punjab,8733673252,Jalandhar,sharmatraders@example.com,Payment Paid,2023-05-02
Singh Agro,SUP9144,Sowing Machine 3F,SWM0003,66,4909.63,"17, Industrial Area",Gujarat,8056836009,Surat,singhagro@example.com,Payment Pending,2020-07-03
Reddy Trading Co.,SUP7529,Plow-18HP,PLW0001,53,851.35,"16, Market Street",Tamil Nadu,9017195023,Coimbatore,reddytradingco.@example.com,Payment Pending,2021-03-01
Singh Agro,SUP2599,Sowing Machine 1F,SWM0001,93,3142.99,"68, Main Road",Kerala,7994709081,Thiruvananthapuram,singhagro@example.com,Payment Paid,2021-03-08
Khan Distributors,SUP8231,Sowing Machine 2F,SWM0002,14,3624.75,"9, Market Street",Kerala,8798200663,Kochi,khandistributors@example.com,Payment Pending,2023-12-04
Bose Supplies,SUP3373,Sowing Machine 2F,SWM0002,39,2831.87,"80, Industrial Area",Karnataka,7352354533,Mysore,bosesupplies@example.com,Payment Paid,2021-03-11
Khan Distributors,SUP7603,Milk Extractor 600LPM,ME0002,86,4995.3,"43, Market Street",Kerala,8736790155,Kochi,khandistributors@example.com,Payment Paid,2022-11-05
Nair Ventures,SUP8626,Milling Machine-7.5HP,MLL0001,2,3611.69,"12, Market Street",Bihar,7512844135,Bhagalpur,nairventures@example.com,Payment Paid,2020-04-26
Bose Supplies,SUP4639,Roater/Multure-7ft,RTR0002,47,2717.7,"17, Main Road",Kerala,9258429262,Kozhikode,bosesupplies@example.com,Payment Pending,2021-09-05
Sharma Traders,SUP7391,Sowing Machine 1F,SWM0001,70,2359.55,"28, Main Road",Uttar Pradesh,7641168081,Varanasi,sharmatraders@example.com,Payment Paid,2020-02-19
Sharma Traders,SUP7543,Plow-18HP,PLW0001,74,982.25,"25, Market Street",Bihar,7121279818,Patna,sharmatraders@example.com,Payment Pending,2020-01-17
Verma Industries,SUP2626,Milk Extractor 180LPM,ME0001,40,2885.95,"21, Market Street",Punjab,6567882913,Ludhiana,vermaindustries@example.com,Payment Pending,2023-06-14
Desai Dealers,SUP2383,Plow-18HP,PLW0001,92,3304.19,"58, Main Road",Bihar,7258561582,Patna,desaidealers@example.com,Payment Paid,2020-03-10
Khan Distributors,SUP2122,Sowing Machine 4F,SWM0004,56,4295.25,"19, Market Street",Karnataka,6266628250,Bangalore,khandistributors@example.com,Payment Pending,2020-05-08
Gupta Suppliers,SUP1753,Plow-60HP,PLW0002,94,4483.12,"52, Industrial Area",Punjab,9095214369,Jalandhar,guptasuppliers@example.com,Payment Pending,2021-04-25
Singh Agro,SUP5973,Roater/Multure-2ft,RTR0001,9,1197.4,"88, Market Street",Rajasthan,7063201175,Jaipur,singhagro@example.com,Payment Paid,2021-03-29
Nair Ventures,SUP8960,Milk Extractor 600LPM,ME0002,93,4663.18,"60, Market Street",Uttar Pradesh,8998398178,Kanpur,nairventures@example.com,Payment Pending,2022-09-04
Desai Dealers,SUP9820,Kadaba Kutti Machine M2,KK0002,62,1560.94,"32, Industrial Area",Punjab,6511496914,Ludhiana,desaidealers@example.com,Payment Paid,2022-10-09
Reddy Trading Co.,SUP6269,Milk Extractor 600LPM,ME0002,9,1208.27,"57, Market Street",Bihar,9245751686,Patna,reddytradingco.@example.com,Payment Pending,2021-09-11
Khan Distributors,SUP8598,Kadaba Kutti Machine M2,KK0002,85,3070.99,"93, Industrial Area",West Bengal,8559991564,Howrah,khandistributors@example.com,Payment Paid,2020-05-02
Verma Industries,SUP5093,Kadaba Kutti Machine M3,KK0003,54,1060.18,"52, Main Road",Maharashtra,7351496494,Mumbai,vermaindustries@example.com,Payment Paid,2020-07-06
Khan Distributors,SUP4420,Roater/Multure-2ft,RTR0001,3,2596.48,"94, Industrial Area",Karnataka,7439779946,Hubli,khandistributors@example.com,Payment Paid,2021-03-12
Patel Enterprises,SUP1911,Sowing Machine 2F,SWM0002,90,4186.54,"52, Industrial Area",Tamil Nadu,8039639683,Coimbatore,patelenterprises@example.com,Payment Paid,2021-10-22
Sharma Traders,SUP8085,Sowing Machine 1F,SWM0001,98,4856.81,"57, Main Road",Karnataka,8528840212,Bangalore,sharmatraders@example.com,Payment Paid,2022-03-22
Patel Enterprises,SUP8294,Sowing Machine 2F,SWM0002,42,2835.29,"3, Market Street",West Bengal,8394554896,Darjeeling,patelenterprises@example.com,Payment Pending,2021-01-22
Khan Distributors,SUP3335,Plow-18HP,PLW0001,78,1384.9,"47, Main Road",Tamil Nadu,9517514844,Madurai,khandistributors@example.com,Payment Pending,2021-09-23
Reddy Trading Co.,SUP3795,Kadaba Kutti Machine M2,KK0002,73,2025.05,"47, Market Street",Gujarat,9519068291,Surat,reddytradingco.@example.com,Payment Pending,2023-08-03
Gupta Suppliers,SUP9948,Sowing Machine 3F,SWM0003,100,3077.67,"22, Market Street",Gujarat,7326392986,Surat,guptasuppliers@example.com,Payment Pending,2022-08-20
Singh Agro,SUP4294,Kadaba Kutti Machine M1,KK0001,72,3074.68,"35, Market Street",Gujarat,9194083827,Vadodara,singhagro@example.com,Payment Paid,2023-02-23
Bose Supplies,SUP8186,Milling Machine-7.5HP,MLL0001,10,1243.41,"91, Industrial Area",Kerala,7110434028,Kozhikode,bosesupplies@example.com,Payment Paid,2020-10-21
Patel Enterprises,SUP8456,Kadaba Kutti Machine M3,KK0003,43,3097.21,"8, Market Street",Tamil Nadu,9840917652,Coimbatore,patelenterprises@example.com,Payment Pending,2023-03-15
Nair Ventures,SUP5447,Sowing Machine 2F,SWM0002,47,2665.71,"86, Main Road",Uttar Pradesh,8099700521,Kanpur,nairventures@example.com,Payment Pending,2023-01-11
Bose Supplies,SUP3845,Sowing Machine 2F,SWM0002,54,2326.22,"10, Main Road",Gujarat,7084354351,Ahmedabad,bosesupplies@example.com,Payment Pending,2020-11-30
Bose Supplies,SUP2185,Kadaba Kutti Machine M3,KK0003,3,1992.22,"71, Industrial Area",Rajasthan,7297405354,Jodhpur,bosesupplies@example.com,Payment Pending,2023-05-14
Sharma Traders,SUP8238,Kadaba Kutti Machine M2,KK0002,80,849.07,"4, Industrial Area",Maharashtra,6741334855,Mumbai,sharmatraders@example.com,Payment Paid,2020-11-13
Khan Distributors,SUP2556,Milk Extractor 600LPM,ME0002,28,829.14,"29, Industrial Area",West Bengal,9680733741,Kolkata,khandistributors@example.com,Payment Paid,2021-04-26
Singh Agro,SUP1692,Plow-18HP,PLW0001,92,517.82,"93, Market Street",Bihar,7272376042,Patna,singhagro@example.com,Payment Paid,2021-08-19
Gupta Suppliers,SUP9388,Kadaba Kutti Machine M3,KK0003,9,4981.52,"24, Market Street",Gujarat,7321901608,Vadodara,guptasuppliers@example.com,Payment Pending,2021-10-07
Bose Supplies,SUP6406,Kadaba Kutti Machine M1,KK0001,30,4753.4,"88, Main Road",Maharashtra,6063486991,Nagpur,bosesupplies@example.com,Payment Paid,2023-07-22
Verma Industries,SUP9217,Kadaba Kutti Machine M2,KK0002,74,3453.24,"23, Industrial Area",Bihar,9405478270,Gaya,vermaindustries@example.com,Payment Pending,2023-03-03
Khan Distributors,SUP4115,Kadaba Kutti Machine M1,KK0001,5,3789.43,"46, Market Street",West Bengal,9274076079,Kolkata,khandistributors@example.com,Payment Pending,2021-10-15
Verma Industries,SUP2709,Kadaba Kutti Machine M1,KK0001,31,1018.17,"62, Industrial Area",West Bengal,7436624266,Howrah,vermaindustries@example.com,Payment Paid,2022-11-30
Nair Ventures,SUP7339,Plow-18HP,PLW0001,79,772.28,"39, Main Road",West Bengal,6284294239,Howrah,nairventures@example.com,Payment Paid,2020-07-12
Reddy Trading Co.,SUP9075,Plow-18HP,PLW0001,65,2532.58,"95, Market Street",Maharashtra,6679365459,Nagpur,reddytradingco.@example.com,Payment Pending,2023-10-25
Nair Ventures,SUP8429,Milling Machine-7.5HP,MLL0001,94,3171.82,"37, Market Street",West Bengal,7393526426,Kolkata,nairventures@example.com,Payment Pending,2020-11-05
Patel Enterprises,SUP6053,Roater/Multure-7ft,RTR0002,56,1472.2,"6, Main Road",Maharashtra,7261268105,Pune,patelenterprises@example.com,Payment Pending,2021-07-04
Patel Enterprises,SUP6487,Plow-60HP,PLW0002,39,4998.07,"41, Main Road",Kerala,6537045394,Kozhikode,patelenterprises@example.com,Payment Paid,2023-07-12
Desai Dealers,SUP1512,Milling Machine-40HP,MLL0002,11,4058.44,"58, Main Road",Tamil Nadu,8155773999,Madurai,desaidealers@example.com,Payment Pending,2022-05-14
Singh Agro,SUP2306,Plow-60HP,PLW0002,52,525.61,"61, Market Street",Maharashtra,7891990733,Nagpur,singhagro@example.com,Payment Paid,2021-02-27
Khan Distributors,SUP8694,Kadaba Kutti Machine M2,KK0002,64,511.88,"73, Market Street",Kerala,7688623102,Kozhikode,khandistributors@example.com,Payment Pending,2021-09-05
Singh Agro,SUP2818,Milk Extractor 180LPM,ME0001,76,3724.6,"92, Market Street",Maharashtra,6883688000,Pune,singhagro@example.com,Payment Pending,2022-11-20
Reddy Trading Co.,SUP2056,Sowing Machine 4F,SWM0004,79,596.58,"14, Main Road",Karnataka,6767112324,Bangalore,reddytradingco.@example.com,Payment Paid,2020-05-24
Patel Enterprises,SUP2963,Milling Machine-7.5HP,MLL0001,5,1149.29,"69, Industrial Area",Tamil Nadu,8228763830,Madurai,patelenterprises@example.com,Payment Paid,2023-01-14
Desai Dealers,SUP2897,Sowing Machine 2F,SWM0002,22,2438.14,"60, Market Street",West Bengal,6164265592,Kolkata,desaidealers@example.com,Payment Paid,2020-10-28
Nair Ventures,SUP5755,Sowing Machine 3F,SWM0003,71,2904.02,"24, Market Street",Maharashtra,6209033583,Mumbai,nairventures@example.com,Payment Pending,2020-11-24
Desai Dealers,SUP8857,Milling Machine-7.5HP,MLL0001,89,4695.27,"54, Market Street",Punjab,7141066180,Ludhiana,desaidealers@example.com,Payment Pending,2023-08-26
Singh Agro,SUP9691,Milk Extractor 600LPM,ME0002,40,1108.19,"49, Industrial Area",Gujarat,7787571951,Surat,singhagro@example.com,Payment Pending,2020-06-04
Bose Supplies,SUP9327,Plow-60HP,PLW0002,95,1135.78,"97, Main Road",Tamil Nadu,7072954170,Coimbatore,bosesupplies@example.com,Payment Paid,2020-02-22
Verma Industries,SUP8090,Milk Extractor 180LPM,ME0001,94,1525.09,"80, Industrial Area",Rajasthan,6506252712,Udaipur,vermaindustries@example.com,Payment Paid,2021-02-15
Patel Enterprises,SUP5498,Milk Extractor 180LPM,ME0001,88,3172.5,"78, Main Road",Kerala,8382687064,Thiruvananthapuram,patelenterprises@example.com,Payment Pending,2023-08-14
Reddy Trading Co.,SUP9611,Sowing Machine 1F,SWM0001,52,2432.2,"51, Main Road",Uttar Pradesh,6330870619,Lucknow,reddytradingco.@example.com,Payment Pending,2021-04-27
Khan Distributors,SUP1069,Kadaba Kutti Machine M3,KK0003,64,2718.46,"5, Industrial Area",Uttar Pradesh,8243212467,Kanpur,khandistributors@example.com,Payment Pending,2023-12-13
Sharma Traders,SUP8096,Roater/Multure-7ft,RTR0002,64,1639.33,"39, Main Road",Rajasthan,8161083790,Jodhpur,sharmatraders@example.com,Payment Pending,2022-08-01
Sharma Traders,SUP2900,Kadaba Kutti Machine M3,KK0003,94,2165.28,"34, Main Road",Tamil Nadu,6733824441,Coimbatore,sharmatraders@example.com,Payment Pending,2020-01-19
Verma Industries,SUP8013,Plow-18HP,PLW0001,6,2529.71,"83, Industrial Area",West Bengal,6419951468,Howrah,vermaindustries@example.com,Payment Paid,2020-11-25
Desai Dealers,SUP3425,Kadaba Kutti Machine M1,KK0001,36,1338.58,"27, Main Road",Maharashtra,6601627896,Mumbai,desaidealers@example.com,Payment Paid,2023-02-20
Patel Enterprises,SUP8708,Milk Extractor 600LPM,ME0002,77,975.25,"25, Market Street",Bihar,6610284774,Bhagalpur,patelenterprises@example.com,Payment Paid,2023-04-12
Reddy Trading Co.,SUP5230,Milk Extractor 180LPM,ME0001,96,2613.62,"10, Main Road",Punjab,6190895579,Jalandhar,reddytradingco.@example.com,Payment Paid,2023-03-19
Reddy Trading Co.,SUP5426,Plow-18HP,PLW0001,6,4416.63,"55, Main Road",Uttar Pradesh,7401012927,Lucknow,reddytradingco.@example.com,Payment Pending,2023-05-22
Nair Ventures,SUP6256,Plow-60HP,PLW0002,79,3057.48,"42, Market Street",Kerala,6755266535,Kochi,nairventures@example.com,Payment Paid,2020-12-14
Reddy Trading Co.,SUP2957,Plow-60HP,PLW0002,77,2835.93,"21, Market Street",Rajasthan,7391975841,Udaipur,reddytradingco.@example.com,Payment Paid,2022-11-08
Singh Agro,SUP1455,Sowing Machine 4F,SWM0004,53,3852.51,"36, Market Street",Punjab,6532276049,Jalandhar,singhagro@example.com,Payment Paid,2023-07-10
Nair Ventures,SUP5385,Milk Extractor 600LPM,ME0002,44,4258.05,"27, Industrial Area",Gujarat,6347680249,Ahmedabad,nairventures@example.com,Payment Paid,2021-10-27
Gupta Suppliers,SUP9366,Kadaba Kutti Machine M2,KK0002,43,3752.66,"68, Main Road",Tamil Nadu,9524801252,Madurai,guptasuppliers@example.com,Payment Paid,2022-08-07
Patel Enterprises,SUP7337,Milk Extractor 180LPM,ME0001,72,3867.5,"75, Main Road",Uttar Pradesh,7794554031,Kanpur,patelenterprises@example.com,Payment Paid,2020-07-09
Gupta Suppliers,SUP9864,Milk Extractor 180LPM,ME0001,100,2077.86,"88, Market Street",Kerala,9387930319,Kochi,guptasuppliers@example.com,Payment Pending,2022-04-02
Gupta Suppliers,SUP1743,Sowing Machine 3F,SWM0003,75,1117.72,"4, Market Street",Tamil Nadu,8873578433,Coimbatore,guptasuppliers@example.com,Payment Pending,2020-05-26
Gupta Suppliers,SUP5120,Milk Extractor 180LPM,ME0001,32,1313.97,"86, Main Road",Gujarat,9037647717,Ahmedabad,guptasuppliers@example.com,Payment Paid,2020-03-18
Singh Agro,SUP2191,Plow-60HP,PLW0002,75,4442.05,"41, Main Road",Bihar,6050237031,Gaya,singhagro@example.com,Payment Paid,2022-11-15
Nair Ventures,SUP1518,Roater/Multure-2ft,RTR0001,35,4960.94,"51, Industrial Area",Punjab,9617474862,Ludhiana,nairventures@example.com,Payment Pending,2022-12-04
Bose Supplies,SUP5811,Sowing Machine 2F,SWM0002,80,800.56,"10, Market Street",Maharashtra,6313673005,Pune,bosesupplies@example.com,Payment Paid,2020-11-23
Singh Agro,SUP8912,Milling Machine-7.5HP,MLL0001,50,1606.41,"51, Industrial Area",Gujarat,9677400203,Surat,singhagro@example.com,Payment Paid,2020-02-26
Verma Industries,SUP4005,Kadaba Kutti Machine M1,KK0001,100,3026.78,"55, Main Road",Karnataka,9429728745,Mysore,vermaindustries@example.com,Payment Pending,2022-07-08
Sharma Traders,SUP7880,Kadaba Kutti Machine M1,KK0001,70,3029.49,"30, Market Street",Gujarat,9623921592,Ahmedabad,sharmatraders@example.com,Payment Pending,2022-08-15
Gupta Suppliers,SUP5179,Kadaba Kutti Machine M3,KK0003,5,4832.43,"53, Main Road",Maharashtra,8041148138,Mumbai,guptasuppliers@example.com,Payment Paid,2021-03-08
Patel Enterprises,SUP2284,Roater/Multure-2ft,RTR0001,61,2414.22,"58, Main Road",Karnataka,6530584456,Hubli,patelenterprises@example.com,Payment Pending,2023-09-25
Bose Supplies,SUP1536,Milk Extractor 180LPM,ME0001,60,3657.28,"32, Market Street",Bihar,6143791012,Gaya,bosesupplies@example.com,Payment Pending,2023-04-05
Singh Agro,SUP5728,Milk Extractor 600LPM,ME0002,81,4416.55,"31, Industrial Area",Gujarat,8012504563,Surat,singhagro@example.com,Payment Pending,2023-09-12
Bose Supplies,SUP5050,Kadaba Kutti Machine M3,KK0003,76,1983.03,"77, Market Street",Rajasthan,6507816938,Jaipur,bosesupplies@example.com,Payment Pending,2023-04-30
Reddy Trading Co.,SUP2940,Roater/Multure-7ft,RTR0002,82,1606.05,"93, Industrial Area",Tamil Nadu,8218290358,Chennai,reddytradingco.@example.com,Payment Pending,2022-06-15
Desai Dealers,SUP2388,Kadaba Kutti Machine M1,KK0001,12,1592.57,"71, Main Road",Maharashtra,9267886791,Mumbai,desaidealers@example.com,Payment Paid,2023-04-27
Desai Dealers,SUP9320,Kadaba Kutti Machine M1,KK0001,4,3402.43,"68, Main Road",Karnataka,7392376968,Mysore,desaidealers@example.com,Payment Paid,2021-02-15
Bose Supplies,SUP8081,Milk Extractor 180LPM,ME0001,42,897.99,"13, Main Road",Kerala,6035371891,Kochi,bosesupplies@example.com,Payment Paid,2023-12-26
Singh Agro,SUP8791,Roater/Multure-7ft,RTR0002,60,555.72,"98, Industrial Area",Rajasthan,6584633079,Udaipur,singhagro@example.com,Payment Paid,2023-01-22
Gupta Suppliers,SUP6804,Sowing Machine 3F,SWM0003,78,3786.59,"43, Industrial Area",Gujarat,8020001158,Surat,guptasuppliers@example.com,Payment Pending,2020-01-13
Patel Enterprises,SUP4201,Sowing Machine 2F,SWM0002,76,1798.78,"24, Industrial Area",Karnataka,7185158136,Mysore,patelenterprises@example.com,Payment Pending,2023-09-11
Khan Distributors,SUP6034,Kadaba Kutti Machine M3,KK0003,43,1064.9,"41, Main Road",Karnataka,9049667277,Mysore,khandistributors@example.com,Payment Paid,2021-01-28
Nair Ventures,SUP6932,Sowing Machine 2F,SWM0002,28,1636.96,"16, Industrial Area",Kerala,6634731141,Thiruvananthapuram,nairventures@example.com,Payment Paid,2023-02-24
Sharma Traders,SUP3843,Milling Machine-40HP,MLL0002,68,3502.3,"48, Main Road",Maharashtra,7114671925,Pune,sharmatraders@example.com,Payment Paid,2020-09-28
Gupta Suppliers,SUP5283,Plow-18HP,PLW0001,12,2308.71,"63, Market Street",Gujarat,6353661250,Ahmedabad,guptasuppliers@example.com,Payment Pending,2022-11-27
Reddy Trading Co.,SUP3204,Roater/Multure-7ft,RTR0002,70,3920.65,"20, Industrial Area",Punjab,6847769801,Ludhiana,reddytradingco.@example.com,Payment Paid,2023-12-25
Reddy Trading Co.,SUP4748,Plow-18HP,PLW0001,7,2276.74,"24, Main Road",Maharashtra,9294527705,Pune,reddytradingco.@example.com,Payment Paid,2022-08-29
Nair Ventures,SUP3290,Milk Extractor 600LPM,ME0002,44,3754.86,"30, Market Street",Tamil Nadu,7347130470,Chennai,nairventures@example.com,Payment Pending,2022-05-21
Reddy Trading Co.,SUP7929,Plow-60HP,PLW0002,34,832.8,"71, Main Road",Maharashtra,7527033835,Pune,reddytradingco.@example.com,Payment Paid,2020-04-28
Bose Supplies,SUP7860,Kadaba Kutti Machine M2,KK0002,45,2776.88,"98, Main Road",West Bengal,9838024074,Kolkata,bosesupplies@example.com,Payment Pending,2020-11-30
Bose Supplies,SUP5857,Roater/Multure-7ft,RTR0002,100,3215.03,"70, Market Street",Gujarat,9719017128,Surat,bosesupplies@example.com,Payment Paid,2023-10-15
Gupta Suppliers,SUP8146,Sowing Machine 2F,SWM0002,99,2346.44,"98, Main Road",Punjab,8928731825,Ludhiana,guptasuppliers@example.com,Payment Pending,2022-09-30
Khan Distributors,SUP3053,Sowing Machine 1F,SWM0001,57,1495.75,"35, Main Road",Rajasthan,6640684062,Udaipur,khandistributors@example.com,Payment Paid,2023-09-19
