Supplier Name,Supplier ID,Product,Product ID,Product Quantity,Price per Product,Address,State,Phone Number,City,Email,Payment Status,Date
Swaminathan and Sons,7782,Yogurt or Curd,P012,377,157.74,"507, Saini Zila, Unnao 508624",Madhya Pradesh,1888791426,Aizawl,ayeshahari@yahoo.com,Payment Pending,2020-06-20
Deo Ltd,9451,"Dry Fruits (e.g., almonds, cashews, raisins)",P017,26,498.66,"29, Krishnamurthy, Rajahmundry 952969",Punjab,+918883698891,Sikar,htoor@hotmail.com,Payment Paid,2022-08-11
"Bali, Iyer and Lad",1561,Green Peas,P004,103,446.39,"H.No. 95, Jaggi Road, Kulti 504327",Haryana,02411411446,Gandhinagar,reyanshbasu@subramaniam-chaudry.biz,Payment Paid,2021-11-21
"Bali, Iyer and Lad",5612,Yogurt or Curd,P012,390,272.67,"288, Varghese Chowk, Mathura 127870",Kerala,+914174702728,Arrah,kiberati@yahoo.com,Payment Pending,2022-05-02
Sehgal and Sons,3120,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,190,170.35,"17/59, Anne Nagar, Moradabad 708734",Uttarakhand,08292498387,Rajahmundry,uthkarshdivan@sastry-shetty.info,Payment Pending,2023-09-17
Bera-Dani,7261,"Pulp (e.g., mango, guava, or tomato pulp)",P003,425,102.96,"61, Singhal Ganj, Saharanpur 188598",Maharashtra,+915705754112,Tezpur,arnavgarg@magar.net,Payment Pending,2020-08-28
Sehgal and Sons,5326,"Frozen Berries (e.g., strawberries, blueberries)",P015,357,253.07,"499, Sethi Zila, Asansol-675641",Tamil Nadu,5965210037,Unnao,gmanne@bir.org,Payment Paid,2023-05-01
Sehgal and Sons,1000,"Frozen Berries (e.g., strawberries, blueberries)",P015,265,474.02,"39, Das Marg, Mehsana 273477",Odisha,03746266107,Thanjavur,anayaborah@sami.com,Payment Paid,2020-01-28
Bera-Dani,6635,Butter,P007,105,360.31,"H.No. 344, Ravel Path, Chandigarh 475187",Gujarat,8711898114,Chinsurah,rheamalhotra@hotmail.com,Payment Pending,2023-12-09
Swaminathan and Sons,5720,Cheese Slices or Blocks,P006,231,440.09,"H.No. 678, Dada Ganj, Allahabad-519154",Himachal Pradesh,+910793657647,Rohtak,anika47@dave.info,Payment Pending,2023-06-03
Sehgal and Sons,4013,Paneer (Cottage Cheese),P008,151,377.7,"12, Sampath Circle, Bardhaman-710739",Nagaland,+918740350472,Alappuzha,kiara06@gmail.com,Payment Paid,2020-11-06
Bera-Dani,7249,Rice or Pasta,P020,353,325.85,"H.No. 883, Sandhu Nagar, Pimpri-Chinchwad-538263",Kerala,+916869816937,Bhopal,trisha12@gmail.com,Payment Paid,2020-02-19
"Bali, Iyer and Lad",6456,Milk or Milk Powder,P013,469,340.89,"H.No. 155, Venkataraman Circle, Saharsa 114415",Tamil Nadu,+917099947360,Adoni,mdey@gokhale.com,Payment Paid,2021-10-13
"Bali, Iyer and Lad",9126,Chicken Nuggets,P010,400,421.48,"43/52, Ray Circle, Agartala 206597",West Bengal,05131987332,Uluberia,ybhardwaj@dora.net,Payment Pending,2023-04-05
"Sem, Mann and Karnik",6824,Sweet Corn,P001,73,55.33,"H.No. 46, Thakur Zila, Katihar 405116",Gujarat,09565456412,Kirari Suleman Nagar,ibassi@hotmail.com,Payment Pending,2021-02-08
"Tella, Andra and Grover",5037,Frozen Mixed Vegetables,P009,446,318.18,"812, Bhat Nagar, Fatehpur 483850",Odisha,+911995485355,Berhampur,jayaramanurvi@mann.com,Payment Paid,2023-09-27
"Sem, Mann and Karnik",2410,Frozen Mixed Vegetables,P009,374,172.31,"H.No. 25, Karnik Street, Machilipatnam-264644",Haryana,4099496008,Pudukkottai,chackolagan@hotmail.com,Payment Pending,2021-05-31
"Bali, Iyer and Lad",3462,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,362,213.08,"60, Bora Chowk, Delhi 311122",Maharashtra,04581760501,Aligarh,ikurian@gaba.biz,Payment Paid,2023-08-27
Chana-Sankar,3814,"Pulp (e.g., mango, guava, or tomato pulp)",P003,238,327.82,"53, Kunda Road, Dibrugarh 416151",Gujarat,02971977215,Vellore,keyabhatia@gmail.com,Payment Paid,2022-05-15
"Grover, Sidhu and Varma",6254,Ice Cream,P002,267,435.97,"H.No. 169, Sant Marg, Jaunpur-620684",Himachal Pradesh,03199128975,Kanpur,indransmahal@chatterjee-sama.com,Payment Paid,2021-02-07
Sehgal and Sons,5940,Sweet Corn,P001,286,78.55,"39/82, Gera Zila, Motihari-315812",Meghalaya,00281482252,Ahmedabad,gardezain@yahoo.com,Payment Pending,2020-11-23
Deo Ltd,9525,Juice Concentrates (like orange or cranberry),P014,497,133.94,"H.No. 75, Deep Road, Bettiah 247507",Chhattisgarh,01068864070,Karaikudi,bdeshmukh@gmail.com,Payment Pending,2022-06-10
"Tella, Andra and Grover",7012,Chicken Nuggets,P010,356,133.27,"H.No. 11, Sule Zila, Moradabad-722513",Assam,6101703937,Belgaum,aniruddh58@sankaran.com,Payment Pending,2023-07-05
Bera-Dani,2198,Sweet Corn,P001,175,219.86,"H.No. 330, Chandran Path, Singrauli 347228",Uttarakhand,07107823814,Solapur,evala@kapoor.biz,Payment Pending,2020-09-07
"Bali, Iyer and Lad",8421,Chicken Nuggets,P010,219,419.97,"H.No. 45, Tripathi Circle, Agra 590057",Uttarakhand,9225100926,Hyderabad,lakshit27@hotmail.com,Payment Paid,2022-08-25
Chana-Sankar,5228,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,213,37.76,"21, Rao Nagar, Hosur-625990",Telangana,8942938536,Nagercoil,chirag67@hotmail.com,Payment Pending,2021-02-09
"Bali, Iyer and Lad",1088,Frozen French Fries,P005,88,237.2,"524, Sarma Chowk, Madanapalle-216907",Sikkim,5259773420,Bhiwani,raunak63@kohli.com,Payment Paid,2022-05-22
Bera-Dani,8289,Frozen Mixed Vegetables,P009,263,463.52,"252, Raman Zila, Berhampur-612555",Tamil Nadu,+912100132666,Allahabad,vihaan24@guha-gokhale.com,Payment Pending,2023-01-22
Bera-Dani,2128,Yogurt or Curd,P012,455,269.0,"H.No. 037, Bhatia Ganj, Chandrapur-436736",Sikkim,06068882065,Sagar,elakshi51@kumar.org,Payment Paid,2022-08-12
Chana-Sankar,7681,Milk or Milk Powder,P013,288,190.76,"278, Bedi, Chinsurah 785820",Punjab,+916869316905,Nanded,hseth@hotmail.com,Payment Paid,2021-11-23
Ratta-Buch,6695,Ice Cream,P002,74,395.41,"331, Dhaliwal Chowk, Saharanpur-147306",Nagaland,+917580590022,Narasaraopet,kdave@keer-bava.com,Payment Paid,2020-03-30
Ratta-Buch,6196,Butter,P007,133,481.15,"H.No. 914, Shetty Marg, Miryalaguda 272485",Tripura,+913532218830,Burhanpur,lalbhavin@yahoo.com,Payment Pending,2022-05-23
Deo Ltd,3838,Chicken Nuggets,P010,468,441.06,"23/09, Kar Ganj, Dehri 029734",Sikkim,02625591473,Ujjain,ndugar@yahoo.com,Payment Pending,2020-01-18
Sehgal and Sons,6329,Yogurt or Curd,P012,107,111.37,"18/93, Dugar Chowk, Bettiah-378393",Chhattisgarh,+918965153893,Ghaziabad,hiranramachandran@gmail.com,Payment Paid,2021-12-30
Bera-Dani,5289,Cheese Slices or Blocks,P006,241,57.8,"H.No. 73, Krishnan Nagar, Shimla-195913",Manipur,01373181974,Faridabad,hunar04@yahoo.com,Payment Pending,2023-02-02
Deo Ltd,7680,Whipping Cream,P016,437,441.15,"50/52, Kapoor Marg, Kalyan-Dombivli-137827",Kerala,+919673758459,Uluberia,ratiraman@varughese.com,Payment Paid,2020-07-25
Swaminathan and Sons,7953,Frozen Mixed Vegetables,P009,85,166.4,"58/97, Baral Chowk, Orai 131737",Manipur,+918870947031,Pimpri-Chinchwad,priyanshdara@gmail.com,Payment Paid,2021-11-06
"Bali, Iyer and Lad",2802,Rice or Pasta,P020,494,21.31,"960, Shah Street, Vijayawada 644636",West Bengal,+919750362808,Ramagundam,bhatthrishita@ramachandran-walia.com,Payment Pending,2021-07-05
Chana-Sankar,6308,Paneer (Cottage Cheese),P008,293,20.44,"H.No. 698, Mani Path, Howrah-584249",Bihar,06631503955,Bahraich,khushisura@verma.com,Payment Pending,2023-08-11
Swaminathan and Sons,5832,Pickles,P018,221,119.97,"883, Sarraf, Mira-Bhayandar 816741",Haryana,1999013783,Hapur,tankkavya@tripathi.com,Payment Pending,2022-12-03
"Grover, Sidhu and Varma",5753,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,276,309.43,"H.No. 13, Bains Chowk, Nanded 562807",Tripura,9720142484,Baranagar,roysamarth@yahoo.com,Payment Pending,2023-02-02
"Sem, Mann and Karnik",1215,Sweet Corn,P001,161,397.45,"15, Bahl Nagar, Hazaribagh 705064",Maharashtra,0227437401,Tiruchirappalli,badalreyansh@hotmail.com,Payment Pending,2021-06-03
"Bali, Iyer and Lad",3382,Rice or Pasta,P020,463,173.98,"H.No. 25, Saha Nagar, Ratlam 177354",Arunachal Pradesh,+919472950171,Nagaon,ybalan@karan.com,Payment Paid,2020-07-27
"Sem, Mann and Karnik",9887,Chicken Nuggets,P010,225,114.11,"45, Krishnan Ganj, Kulti-567203",Andhra Pradesh,+915899603149,Narasaraopet,madhavwalia@gmail.com,Payment Pending,2020-01-18
Ratta-Buch,2976,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,130,438.09,"82/79, Shan Circle, Shahjahanpur 510700",Tamil Nadu,4363136942,Raiganj,madhav80@yahoo.com,Payment Pending,2021-09-02
"Bali, Iyer and Lad",2921,Paneer (Cottage Cheese),P008,445,203.55,"H.No. 166, Garg Street, Sasaram 119670",Uttarakhand,05835422046,Ozhukarai,singhinaaya@gmail.com,Payment Pending,2022-11-06
Sehgal and Sons,1464,Chicken Nuggets,P010,295,465.16,"08, Walla Street, Raebareli 934837",Maharashtra,04881246609,Ranchi,alisha16@yahoo.com,Payment Paid,2022-06-11
"Bali, Iyer and Lad",9376,Ice Cream,P002,23,386.78,"068, Rege Circle, Secunderabad 921997",Odisha,+919601415693,Gurgaon,dbahl@suresh-ganesan.com,Payment Paid,2022-08-12
Swaminathan and Sons,6965,Chicken Nuggets,P010,406,389.97,"83/16, Chaudhry Marg, Ambala-975500",Arunachal Pradesh,+915400763819,Sasaram,aaina62@hotmail.com,Payment Paid,2023-06-04
Deo Ltd,3564,"Dry Fruits (e.g., almonds, cashews, raisins)",P017,15,360.59,"H.No. 184, Chander Nagar, Durg-789385",Himachal Pradesh,+911767356277,Vijayanagaram,aggarwalkashvi@hotmail.com,Payment Pending,2020-10-31
Ratta-Buch,3990,"Pulp (e.g., mango, guava, or tomato pulp)",P003,25,161.0,"H.No. 084, Ganesh Ganj, Allahabad-692566",Odisha,00123305746,Howrah,misha93@korpal.com,Payment Paid,2020-08-18
Ratta-Buch,8731,Rice or Pasta,P020,449,22.64,"75/53, Uppal Circle, Dhule 580141",Bihar,6320506522,Bellary,shray91@doctor-deep.org,Payment Pending,2020-08-13
"Bali, Iyer and Lad",7872,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,229,32.95,"02/10, Borra Circle, Bihar Sharif 142974",Meghalaya,08528346731,Vijayanagaram,ssule@saraf.com,Payment Paid,2021-07-02
"Grover, Sidhu and Varma",3999,Milk or Milk Powder,P013,41,487.11,"72, Chad Path, Madanapalle 332093",Assam,+911783610081,Sirsa,rbarman@yahoo.com,Payment Pending,2022-02-27
Sehgal and Sons,2236,Ice Cream,P002,284,275.9,"98/34, Dora Road, Chandrapur 601667",Himachal Pradesh,02055336031,Sambhal,dhanush60@hotmail.com,Payment Pending,2021-04-20
"Sem, Mann and Karnik",2003,Ice Cream,P002,55,112.01,"963, Lad Circle, Dehradun-734997",Meghalaya,+917132550837,Panihati,shlokkonda@kothari.info,Payment Pending,2021-09-29
Deo Ltd,5608,Rice or Pasta,P020,120,12.28,"H.No. 587, Vig Road, Ramagundam 948684",West Bengal,05720606620,Warangal,eshenoy@chadha.com,Payment Pending,2020-03-26
Bera-Dani,3264,Frozen French Fries,P005,69,267.83,"59, Gaba Marg, Bijapur-371816",Sikkim,+915627090371,Hazaribagh,mishti81@yahoo.com,Payment Pending,2022-11-25
Ratta-Buch,5435,Yogurt or Curd,P012,215,92.59,"H.No. 976, Ram Path, Bijapur-704383",Odisha,09266108950,Chandigarh,amblekavya@gmail.com,Payment Pending,2021-08-28
Bera-Dani,6904,Frozen French Fries,P005,228,204.38,"024, Bhavsar Ganj, Asansol 440479",Madhya Pradesh,+916532847923,Ozhukarai,rheaverma@mall.biz,Payment Pending,2020-07-10
Ratta-Buch,6501,Cheese Slices or Blocks,P006,157,316.31,"64, Ben Ganj, Tezpur 853382",Karnataka,01577070849,Srinagar,kulkarnisuhana@goyal.info,Payment Paid,2021-02-03
Swaminathan and Sons,1229,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,426,382.49,"H.No. 302, Bhattacharyya Chowk, Thrissur 761646",Rajasthan,+910465157050,Jaunpur,kiaangoswami@yahoo.com,Payment Paid,2020-09-13
"Sem, Mann and Karnik",8448,Butter,P007,254,279.91,"59/82, Iyengar Road, Tezpur-999612",Odisha,5853572909,Proddatur,zshroff@saini.com,Payment Paid,2021-03-04
Swaminathan and Sons,1888,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,220,463.25,"H.No. 93, Tella Street, Phagwara 132190",Assam,0866867874,Guntakal,vanyadasgupta@wagle-ramanathan.biz,Payment Pending,2021-05-12
Bera-Dani,6532,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,178,328.59,"56/837, Venkataraman, Sasaram-636878",Goa,03014492434,Amroha,jayantbahri@venkatesh-dalal.info,Payment Pending,2023-10-24
"Sem, Mann and Karnik",5377,"Sauces (like tomato ketchup, chili sauce, or soy sauce)",P019,15,254.63,"H.No. 07, Gade Circle, Sagar 865150",Rajasthan,+912451762887,Burhanpur,taranbabu@brar.com,Payment Pending,2021-09-27
Bera-Dani,4792,Milk or Milk Powder,P013,101,387.65,"103, Sen Road, Dehradun 372707",Odisha,9910272815,Anantapuram,urviagarwal@sami.com,Payment Pending,2023-09-04
"Bali, Iyer and Lad",5628,Juice Concentrates (like orange or cranberry),P014,34,77.42,"832, Bahl, Mira-Bhayandar-608271",West Bengal,04559728080,Bally,bhamini76@lala.com,Payment Paid,2021-04-27
Deo Ltd,2889,Whipping Cream,P016,225,389.5,"H.No. 020, Sandhu Marg, Jamalpur 040223",Telangana,+916075168057,Kanpur,purab00@goswami.com,Payment Paid,2020-03-31
Chana-Sankar,1417,Chicken Nuggets,P010,305,491.44,"81/085, Sood Chowk, Jamshedpur-905583",Himachal Pradesh,7922278396,Danapur,agrawalsumer@sankar.com,Payment Pending,2023-09-10
"Sem, Mann and Karnik",9346,Chicken Nuggets,P010,365,151.38,"89/56, Chaudhry Chowk, Warangal 593357",Tamil Nadu,01667752481,Cuttack,srivastavakiara@dora.com,Payment Paid,2021-05-05
Swaminathan and Sons,4465,Chicken Nuggets,P010,256,147.48,"95/77, Ganesan Circle, Gandhidham 362384",Tamil Nadu,07266705652,Singrauli,rkibe@yahoo.com,Payment Paid,2022-12-25
"Tella, Andra and Grover",3908,"Dry Fruits (e.g., almonds, cashews, raisins)",P017,97,239.47,"644, Buch Marg, Faridabad 210512",Assam,5403318303,Loni,baliaarush@gmail.com,Payment Paid,2020-11-14
Deo Ltd,4826,Frozen French Fries,P005,286,21.17,"967, Jha Zila, Sagar-652079",Haryana,06049441619,Bhilwara,tandonlakshit@hotmail.com,Payment Paid,2020-06-14
"Grover, Sidhu and Varma",5460,Frozen French Fries,P005,467,131.45,"13, Yogi Circle, Fatehpur-443718",Karnataka,+915600500782,Etawah,keyachacko@gmail.com,Payment Pending,2022-07-07
Ratta-Buch,9818,Paneer (Cottage Cheese),P008,229,234.88,"H.No. 655, Kala Chowk, Vadodara-943486",Odisha,+910440573869,Moradabad,gchaudry@dass-sangha.org,Payment Pending,2023-01-17
"Sem, Mann and Karnik",9416,Cheese Slices or Blocks,P006,490,221.64,"66, Majumdar Marg, Medininagar-321451",Arunachal Pradesh,5596428502,Fatehpur,oorja51@yahoo.com,Payment Paid,2021-07-13
"Tella, Andra and Grover",9769,Chicken Nuggets,P010,326,386.8,"929, Ram Street, Davanagere-967123",Tripura,7643324994,Nashik,jaggizaina@hotmail.com,Payment Pending,2022-01-30
"Tella, Andra and Grover",6285,Frozen Mixed Vegetables,P009,268,466.77,"38/18, Rana Circle, Ratlam-867357",Goa,4312603729,Bally,mahikaupadhyay@gmail.com,Payment Pending,2021-11-06
Ratta-Buch,2098,Butter,P007,62,226.03,"H.No. 466, Dewan Path, Mira-Bhayandar 779555",Nagaland,05114749603,Nagaon,ddhingra@dhar.info,Payment Paid,2021-08-16
Chana-Sankar,6351,Frozen Fish Fillets,P011,292,183.05,"47/30, Kibe Chowk, Bhopal-422483",Tripura,6389573442,Panvel,psethi@hotmail.com,Payment Paid,2021-11-30
"Bali, Iyer and Lad",7627,Frozen Fish Fillets,P011,400,342.64,"275, Chahal Ganj, Kottayam 374427",Goa,+911617544716,Hosur,sarmarasha@hotmail.com,Payment Pending,2021-03-02
Swaminathan and Sons,5035,Butter,P007,482,271.8,"18/88, Toor Path, Nagercoil-171706",Chhattisgarh,7497049298,Jamnagar,jmall@hotmail.com,Payment Pending,2020-09-09
Chana-Sankar,8176,Rice or Pasta,P020,161,481.54,"461, Kurian Path, Thiruvananthapuram 859439",Sikkim,7882074639,Tumkur,fatehjani@loyal-jayaraman.biz,Payment Pending,2022-05-24
Swaminathan and Sons,2788,Butter,P007,200,44.11,"62, Sidhu Circle, Coimbatore-436712",Bihar,0498106943,Bhiwandi,badalgandhi@hotmail.com,Payment Pending,2021-07-26
"Tella, Andra and Grover",7483,"Frozen Berries (e.g., strawberries, blueberries)",P015,285,17.8,"47, Ranganathan Ganj, Dehradun-891177",Uttarakhand,4353308473,Pune,umangtiwari@yahoo.com,Payment Paid,2021-10-25
Bera-Dani,1270,Pickles,P018,96,375.48,"99/578, Sani, Guwahati-191441",Sikkim,08753152277,Rewa,rania39@krish.com,Payment Pending,2020-05-26
Swaminathan and Sons,8079,Chicken Nuggets,P010,95,243.34,"H.No. 905, Varma Zila, Kavali 715761",Uttar Pradesh,+913156475919,Bardhaman,divij81@hotmail.com,Payment Pending,2022-07-31
"Grover, Sidhu and Varma",8436,Frozen Fish Fillets,P011,486,172.28,"95/45, Contractor Zila, Bikaner 639175",Andhra Pradesh,03824505316,Saharanpur,jhanvikhalsa@yahoo.com,Payment Paid,2023-04-28
"Grover, Sidhu and Varma",9743,Pickles,P018,171,465.55,"04/18, Das Circle, Phusro-246158",Bihar,04161160975,Jalandhar,csrivastava@hotmail.com,Payment Paid,2020-07-01
Sehgal and Sons,3177,Rice or Pasta,P020,113,97.23,"H.No. 375, Rajan Circle, Ramgarh-315796",Himachal Pradesh,0571994617,Bhiwani,mkamdar@vig.org,Payment Paid,2021-08-20
Swaminathan and Sons,5501,Milk or Milk Powder,P013,208,46.24,"H.No. 925, Sani Chowk, Ahmedabad 733643",Sikkim,06472455731,Delhi,qkata@gour-gupta.biz,Payment Paid,2022-07-15
Swaminathan and Sons,4459,Butter,P007,79,398.35,"29/646, Koshy Path, Noida 746967",Assam,0668996326,Bhalswa Jahangir Pur,andradivit@varty.com,Payment Pending,2022-05-25
Ratta-Buch,1728,Paneer (Cottage Cheese),P008,9,365.35,"581, Suri Road, Tirunelveli-953806",Karnataka,02881378707,Nashik,shettyalisha@anand.com,Payment Pending,2020-04-29
"Sem, Mann and Karnik",2283,Ice Cream,P002,443,193.91,"767, Amble Street, Morena 903736",Punjab,+912724747689,Kumbakonam,zachariahhimmat@hotmail.com,Payment Paid,2023-10-01
Swaminathan and Sons,8934,Sweet Corn,P001,56,420.85,"789, Jayaraman Road, Burhanpur-535764",Goa,01804544525,Bidar,madhavandra@kota.org,Payment Pending,2020-04-23
Sehgal and Sons,3683,Sweet Corn,P001,46,422.78,"67/712, Amble, Ramagundam-385557",Bihar,00100100965,Anantapuram,amira54@bala.info,Payment Pending,2021-06-19
"Grover, Sidhu and Varma",7004,Frozen French Fries,P005,183,340.09,"H.No. 116, Ganesh Road, Faridabad 690830",Rajasthan,+911742073883,Alwar,kalaaarna@hotmail.com,Payment Paid,2022-10-24
Bera-Dani,3762,"Dry Fruits (e.g., almonds, cashews, raisins)",P017,401,68.13,"99/766, Krishnamurthy Road, Patiala-401452",Chhattisgarh,+910926734205,Ambala,venkateshlakshay@andra.com,Payment Pending,2022-05-12
Deo Ltd,7935,Green Peas,P004,411,34.38,"H.No. 57, Rajan Marg, Vijayawada 271838",Goa,00122258863,Agra,baijusama@hotmail.com,Payment Paid,2022-03-28
Sehgal and Sons,6622,Pickles,P018,498,307.49,"11/994, Bakshi Ganj, Ghaziabad-145932",Sikkim,0007153798,Hazaribagh,nbains@yahoo.com,Payment Pending,2021-04-21
